ffmpegthumbnailer 2.2.2-4
fftw 3.3.10-2
file 5.41-1
filesystem 2021.12.07-3
findutils 4.9.0-1
fingerprint-gui 1.09-7
firefox 101.0-1
fish 3.4.1-1
flac 1.3.4-2
flashrom 1.2-4
flatpak 1:1.12.7-1
flex 2.6.4-3
flint 2.8.5-1
flintqs 1:1.0-3
flowblade 2.8.0.3-3
fltk 1.3.8-1
fluidsynth 2.2.7-1
fmt 8.1.1-2
foliate 2.6.4-1
fontconfig 2:2.14.0-1
foomatic-db 3:20220328-1
foomatic-db-engine 4:20200206-1
foomatic-db-gutenprint-ppds 5.3.4-1
fplll 5.4.1-1
fprintd 1.94.2-1
freeglut 3.2.2-2
freeimage 3.18.0-12
freetype2 2.12.1-1
frei0r-plugins 1.7.0-2
fribidi 1.0.12-1
fuse-common 3.11.0-1
fuse2 2.9.9-4
fuse3 3.11.0-1
fwupd 1.8.0-1
fwupd-efi 1.3-1
fzf 0.30.0-2
game-devices-udev 0.16-1
gap 4.11.1-8
garcon 4.16.1-1
gavl 1.4.0-6
gawk 5.1.1-1
gc 8.2.0-3
gcab 1.4-1
gcc 12.1.0-2
gcc-fortran 12.1.0-2
gcc-libs 12.1.0-2
gcolor2 0.4-9
gconf 3.2.6+11+g07808097-8
gcr 3.41.0-2
gd 2.3.3-4
gdb 12.1-1
gdb-common 12.1-1
gdbm 1.23-1
gdk-pixbuf2 2.42.8-1
gdl 3.40.0-1
gdm 42.0+r11+g4a52f026-1
geekbench 5.4.1-1
gegl 0.4.36-3
gendesk 1.0.9-3
geoclue 2.6.0-2
geocode-glib 3.26.2+r9+g6047da3-2
gettext 0.21-2
gf2x 1.3.0-2
gfan 0.6.2-2
gfeeds 0.16.2-4
ghc 9.0.2-1
ghc-libs 9.0.2-1
ghc-static 9.0.2-1
ghostscript 9.56.1-1
gi-docgen 2022.1-1
giac 1.9.0.7-1
giflib 5.2.1-2
gimp 2.10.30-3
girara 0.3.7-1
git 2.36.1-1
git-delta-bin 0.4.1-2
gitg 2:41-1
givaro 4.2.0-1
gjs 2:1.72.0-1
gl2ps 1.4.2-2
glade 3.38.2-3
glew 2.2.0-3
glfw-x11 3.3.7-1
glib-networking 1:2.72.0-1
glib2 2.72.1-1
glib2-docs 2.72.1-1
glibc 2.35-5
glibmm 2.66.4-1
glm 0.9.9.8-1
glpk 5.0-1
glslang 11.9.0-1
glu 9.0.2-3
gmic 3.1.2-1
gmp 6.2.1-1
gmp-ecm 7.0.5-1
gnome-autoar 0.4.3-2
gnome-bluetooth 3.34.5-3
gnome-bluetooth-3.0 42.0-1
gnome-books 40.0-1
gnome-clocks 42.0-1
gnome-desktop 1:42.1-1
gnome-desktop-4 1:42.1-1
gnome-desktop-common 1:42.1-1
gnome-disk-utility 42.0-1
gnome-epub-thumbnailer 1.6-2
gnome-icon-theme 3.12.0-6
gnome-icon-theme-symbolic 3.12.0-6
gnome-keyring 1:40.0-1.1
gnome-menus 3.36.0-1
gnome-online-accounts 3.44.0-1
gnome-session 42.0-1
gnome-settings-daemon 42.1-1
gnome-shell 1:42.1-1
gnome-themes-extra 3.28+r6+g45b1d457-1
gnome-video-effects 0.5.0+4+g9554041-2
gnu-free-fonts 20120503-8
gnu-netcat 0.7.1-8
gnumeric 1.12.52-1
gnupg 2.2.35-2
gnuplot 5.4.3-5
gnutls 3.7.5-1
go 2:1.18.2-1
gobject-introspection 1.72.0-1
gobject-introspection-runtime 1.72.0-1
goffice 0.10.52-1
gparted 1.4.0-1
gperftools 2.9.1-2
gpgme 1.17.1-1
gpick 0.2.6-4
gpm 1.20.7.r38.ge82d1a6-4
gptfdisk 1.0.9-1
graphene 1.10.8-1
graphicsmagick 1.3.38-2
graphite 1:1.3.14-1
graphviz 3.0.0-1
grep 3.7-1
groff 1.22.4-7
grub 2.06-6
grub-theme-manjaro 20.2-12
gsettings-desktop-schemas 42.0-1
gsfonts 20200910-2
gsl 2.7.1-1
gsm 1.0.19-1
gsound 1.0.3-2
gspell 1.10.0-2
gssdp 1.4.0.1-1
gssproxy 0.8.4-1
gst-libav 1.20.2-1
gst-plugins-bad 1.20.2-1
gst-plugins-bad-libs 1.20.2-1
gst-plugins-base 1.20.2-1
gst-plugins-base-libs 1.20.2-1
gst-plugins-good 1.20.2-1
gst-plugins-ugly 1.20.2-1
gstreamer 1.20.2-1
gtest 1.11.0-3
gtk-doc 1.33.2-1
gtk-engine-murrine 0.98.2-4
gtk-engines 2.21.0-5
gtk-sharp-2 2.12.45-4
gtk-update-icon-cache 1:4.6.4-1
gtk2 2.24.33-2
gtk3 1:3.24.34-1
gtk4 1:4.6.4-1
gtkhash 1.4-6
gtkhash-thunar 1.4-6
gtkmm3 3.24.6-1
gtksourceview3 3.24.11+28+g73e57b57-1
gtksourceview4 4.8.3-1
gtkspell 2.0.16-8
gtkspell3 3.0.10-2
gts 0.7.6.121130-2
gtypist-single-space 2.9.5-3
guile 2.2.7-2
guile2.0 2.0.14-6
gumbo-parser 0.10.1-2
gupnp 1:1.4.3-1
gupnp-dlna 0.12.0-1
gupnp-igd 1.2.0-2
gutenprint 5.3.4-1
gvfs 1.50.1-1
gvfs-afc 1.50.1-1
gvfs-gphoto2 1.50.1-1
gvfs-mtp 1.50.1-1
gvfs-nfs 1.50.1-1
gvfs-smb 1.50.1-1
gzip 1.12-1
harfbuzz 4.2.1-1
harfbuzz-icu 4.2.1-1
haskell-aeson 1.5.6.0-105
haskell-aeson-pretty 0.8.9-56
haskell-ansi-terminal 0.11.1-27
haskell-appar 0.1.8-13
haskell-asn1-encoding 0.9.6-170
haskell-asn1-parse 0.9.5-170
haskell-asn1-types 0.3.4-149
haskell-assoc 1.0.2-139
haskell-async 2.2.4-56
haskell-attoparsec 0.14.4-17
haskell-base-compat 0.12.1-1
haskell-base-compat-batteries 0.12.1-20
haskell-base-orphans 0.8.6-37
haskell-base16-bytestring 1.0.2.0-23
haskell-base64-bytestring 1.2.1.0-44
haskell-basement 0.0.14-1
haskell-bifunctors 5.5.12-3
haskell-bitarray 0.0.1.1-23
haskell-blaze-builder 0.4.2.2-2
haskell-blaze-html 0.9.1.2-167
haskell-blaze-markup 0.8.2.8-73
haskell-byteable 0.1.1-25
haskell-byteorder 1.0.4-24
haskell-case-insensitive 1.2.1.0-146
haskell-cereal 0.5.8.2-2
haskell-citeproc 0.6.0.1-47
